"Timestamp","playstation5","เครื่องทำขนมปัง","Ergonomic Wrist Rest","เครื่องอบผ้า","เครื่องชงกาแฟแคปซูล","เก้าอี้ LA-Z-Boy","เครื่องให้อาหารสัตว์อัตโนมัติ","บัตตาเลี่ยน","แก้วเก็บความเย็น","ลู่วิ่งออกกำลังกาย","Kindle","เครื่องซักผ้า","Bluetooth Speaker","ห้องน้ำแมวอัตโนมัติ","PS5","ทรายแมว","ลำโพง pixel","Logitech Mx Master 3 Mouse","ตุ๊กตา ty","น้ำพุแมว","Robot ดูดฝุ่น","Mechanical keyboard","Nintendo switch","หนังสือ python","gaming chair","Deskmat","Dew - ไฟโรเซ่","เทียนหอม jo malone","กระติกน้ำ 2 ลิตร","ที่นอน memory form","พลาสเตอร์บรรเทาปวด ตราเสือ","การ์ดจอ RTX 3080","ขนมจีนน้ำยาปู","Salmon Sashimi","จักรยานเสือหมอบ","ไฟแต่งห้องมินิมอล","External Harddisk","หม้อทอดไร้น้ํามัน","airpods ","ยาดม","ไฟส่องหน้าไลฟ์สด"
"2021/10/17 5:29:58 PM GMT+7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/10/17 5:43:37 PM GMT+7","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคย","เคยซื้อ","เคยซื้อ","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคยซื้อ","ไม่","ไม่เคยซื้อ","ไม่เคย","ไม่เคย","ไม่เคยซือ","ไม่เคยซื้อ","ไม่เคย","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ"
"2021/10/17 5:43:40 PM GMT+7","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคย","ไม่เคยซื้อ","เคยซื้อ","ไม่เคย","ไม่เคย","เคย","ไม่เคยซื้อ","ไม่","ไม่เคยซื้อ","ไม่เคย","ไม่เคย","ไม่เคยซือ","ไม่เคยซื้อ","ไม่เคย","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ"
"2021/10/17 5:43:46 PM GMT+7","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคย","เคยซื้อ","เคยซื้อ","เคย","ไม่เคย","เคย","เคยซื้อ","ไม่","ไม่เคยซื้อ","ไม่เคย","ไม่เคย","ไม่เคยซือ","ไม่เคยซื้อ","ไม่เคย","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","เคยซื้อ","เคยซื้อ","เคยซื้อ","เคยซื้อ"
"2021/10/17 5:43:48 PM GMT+7","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคย","ไม่เคยซื้อ","เคยซื้อ","ไม่เคย","ไม่เคย","ไม่เคย","เคยซื้อ","ไม่","ไม่เคยซื้อ","ไม่เคย","ไม่เคย","ไม่เคยซือ","ไม่เคยซื้อ","ไม่เคย","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ"
"2021/10/17 5:43:54 PM GMT+7","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคย","เคยซื้อ","เคยซื้อ","ไม่เคย","ไม่เคย","เคย","เคยซื้อ","ไม่","ไม่เคยซื้อ","เคย","ไม่เคย","ไม่เคยซือ","ไม่เคยซื้อ","ไม่เคย","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ"
"2021/10/17 5:43:55 PM GMT+7","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคย","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคย","ไม่เคย","ไม่เคย","เคยซื้อ","ไม่","ไม่เคยซื้อ","ไม่เคย","ไม่เคย","ไม่เคยซือ","ไม่เคยซื้อ","ไม่เคย","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ"
"2021/10/17 5:43:57 PM GMT+7","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคย","ไม่เคยซื้อ","เคยซื้อ","ไม่เคย","ไม่เคย","เคย","เคยซื้อ","ไม่","ไม่เคยซื้อ","เคย","ไม่เคย","ไม่เคยซือ","ไม่เคยซื้อ","เคย","ไม่เคยซื้อ","ไม่เคยซื้อ","","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ"
"2021/10/17 5:44:05 PM GMT+7","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคย","ไม่เคยซื้อ","เคยซื้อ","ไม่เคย","ไม่เคย","เคย","เคยซื้อ","ไม่","ไม่เคยซื้อ","ไม่เคย","ไม่เคย","เคยซื้อ","ไม่เคยซื้อ","ไม่เคย","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","","เคยซื้อ","เคยซื้อ","เคยซื้อ"
"2021/10/17 5:44:06 PM GMT+7","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคย","ไม่เคยซื้อ","ไม่เคยซื้อ","เคย","เคย","ไม่เคย","ไม่เคยซื้อ","ไม่","ไม่เคยซื้อ","ไม่เคย","ไม่เคย","ไม่เคยซือ","ไม่เคยซื้อ","ไม่เคย","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","ไม่เคยซื้อ","เคยซื้อ","เคยซื้อ","ไม่เคยซื้อ"
